BlockNumber,BlobLengths
19772071,1
19772072,0
19772073,0
19772074,0
19772075,0
19772076,6
19772077,0
19772078,0
19772079,0
19772080,0
19772081,0
19772082,0
19772083,0
19772084,0
19772085,6
19772086,2
19772087,0
19772088,0
19772089,0
19772090,0
19772091,6
19772092,0
19772093,6
19772094,6
19772095,1
19772096,0
19772097,"1, 1"
19772098,1
19772099,0
19772100,1
19772101,0
19772102,0
19772103,0
19772104,0
19772105,2
19772106,6
19772107,0
19772108,0
19772109,6
19772110,0
19772111,6
19772112,0
19772113,0
19772114,0
19772115,"1, 1"
19772116,0
19772117,0
19772118,0
19772119,0
19772120,6
19772121,1
19772122,0
19772123,6
19772124,0
19772125,0
19772126,0
19772127,1
19772128,0
19772129,0
19772130,0
19772131,0
19772132,1
19772133,6
19772134,0
19772135,0
19772136,0
19772137,0
19772138,0
19772139,0
19772140,6
19772141,0
19772142,1
19772143,0
19772144,0
19772145,1
19772146,0
19772147,0
19772148,0
19772149,0
19772150,0
19772151,"1, 2"
19772152,6
19772153,6
19772154,0
19772155,0
19772156,6
19772157,0
19772158,"1, 1, 1"
19772159,0
19772160,0
19772161,0
19772162,0
19772163,0
19772164,0
19772165,0
19772166,0
19772167,0
19772168,1
19772169,6
19772170,0
19772171,0
19772172,0
19772173,0
19772174,1
19772175,0
19772176,0
19772177,6
19772178,0
19772179,0
19772180,6
19772181,0
19772182,0
19772183,6
19772184,0
19772185,1
19772186,0
19772187,0
19772188,0
19772189,"1, 2"
19772190,0
19772191,0
19772192,1
19772193,0
19772194,0
19772195,1
19772196,0
19772197,0
19772198,0
19772199,0
19772200,0
19772201,0
19772202,0
19772203,0
19772204,6
19772205,1
19772206,0
19772207,6
19772208,6
19772209,6
19772210,0
19772211,0
19772212,0
19772213,0
19772214,0
19772215,1
19772216,0
19772217,"1, 1"
19772218,6
19772219,0
19772220,0
19772221,6
19772222,1
19772223,0
19772224,0
19772225,0
19772226,0
19772227,1
19772228,6
19772229,0
19772230,0
19772231,1
19772232,0
19772233,0
19772234,0
19772235,6
19772236,"2, 1"
19772237,0
19772238,0
19772239,0
19772240,0
